customer_id,customer_name,area,pincode,registration_date,customer_segment,total_orders,avg_order_value
52613657,Kala Ravi,Sultan Pur Majra,685992,16-03-2023,New,9,470.5
25526479,Mason Doctor,Hazaribagh,154794,17-03-2023,Regular,2,391.73
47275378,Aarav Dar,Ahmednagar,572351,18-03-2023,Premium,3,623.26
93723634,Aditya Swamy,Berhampur,952930,19-03-2023,Premium,4,1992.05
34697768,Omaja Oak,Aurangabad,37920,20-03-2023,Regular,13,1965.2
82179338,Isha Dugar,Ulhasnagar,370025,21-03-2023,New,12,1775.89
50760752,Yug Varughese,Maheshtala,100658,22-03-2023,New,14,1670.47
62807542,Chatura Apte,Patiala,340166,23-03-2023,Premium,11,524.5
50632192,Omkaar Mander,Nadiad,846443,24-03-2023,Premium,16,1096.83
75490147,Parth Chad,Vadodara,404379,25-03-2023,Inactive,2,497.56
52672659,Isha Mand,Vadodara,279779,26-03-2023,Regular,17,1721.72
15897933,Mohini Rao,Jabalpur,337945,27-03-2023,Regular,1,1221.23
65396354,Hemani Modi,Hindupur,725268,28-03-2023,Inactive,20,1738.21
65692224,Aahana Buch,Jaunpur,542226,29-03-2023,Regular,3,1053.33
36142455,Rushil Walla,Katni,388331,30-03-2023,Premium,6,1476.25
12090436,Tripti Yogi,Asansol,684483,31-03-2023,Regular,18,1307.52
89910157,Dayamai Ray,Khandwa,166001,01-04-2023,New,5,1859.93
99627097,Amara Narayanan,Raiganj,437954,02-04-2023,New,10,1085.49
15066187,Vedant Keer,Jammu,882141,03-04-2023,Regular,13,791.67
89669139,Bishakha Natarajan,Tiruppur,775702,19-03-2023,Premium,6,1999.64
88324928,Geetika Nanda,Alappuzha,137999,19-03-2023,Regular,13,340.65
93826036,Reyansh Sarma,Hazaribagh,267488,20-03-2023,Premium,19,1143.97
3730316,Ishanvi Shankar,Berhampore,968515,20-03-2023,Regular,10,215.72
59485034,Dominic Sidhu,Agartala,931347,20-03-2023,New,1,1762.35
95371787,Bhavya Bhattacharyya,Gudivada,296207,20-03-2023,New,9,1312.28
52393801,Aarush Roy,Ranchi,96858,20-03-2023,New,2,1910.55
40117357,Jai Murty,Imphal,177718,20-03-2023,New,16,753.81
29689766,Pallavi Kala,Tenali,243885,20-03-2023,New,14,967.01
95428692,Janani Yohannan,Motihari,512761,21-03-2023,New,14,1834.38
82374625,Ronith Sami,Singrauli,789283,22-03-2023,New,20,1923.64
54730270,Aradhana Munshi,Salem,706203,22-03-2023,New,19,1256.55
76604145,Nidra Agate,Rourkela,767461,22-03-2023,Regular,14,1276.88
